1 Chronicles 01:01-04
1 Chronicles 01:05-07
1 Chronicles 01:08-16
1 Chronicles 01:17-27
1 Chronicles 01:28-31
1 Chronicles 01:32-34
1 Chronicles 01:35-54
1 Chronicles 02:01, 02
1 Chronicles 02:03-16
1 Chronicles 02:17
1 Chronicles 02:18-55
1 Chronicles 03:01-04a
1 Chronicles 03:04b-09
1 Chronicles 03:10-16
1 Chronicles 03:17-24
1 Chronicles 04:01-23
1 Chronicles 04:24-33
1 Chronicles 04:34-43
1 Chronicles 05:01-06
1 Chronicles 05:07-10
1 Chronicles 05:11-17
1 Chronicles 05:18-22
1 Chronicles 05:23-26
1 Chronicles 06:01-04a
1 Chronicles 06:04b-15
1 Chronicles 06:16-30
1 Chronicles 06:31-53
1 Chronicles 06:54-81
1 Chronicles 07:01-05
1 Chronicles 07:06-12
1 Chronicles 07:13-19
1 Chronicles 07:20-29
1 Chronicles 07:30-40
1 Chronicles 08:01-09:01a
1 Chronicles 09:01b-34
1 Chronicles 09:35-44
1 Chronicles 10
1 Chronicles 11:01-03
1 Chronicles 11:04-09
1 Chronicles 11:10-14
1 Chronicles 11:15-21
1 Chronicles 11:22-47
1 Chronicles 12:01-07
1 Chronicles 12:08-18
1 Chronicles 12:19-22
1 Chronicles 12:23-40
1 Chronicles 13
1 Chronicles 14:01-02
1 Chronicles 14:03-07
1 Chronicles 14:08-12
1 Chronicles 14:13-17
1 Chronicles 15, 16
1 Chronicles 17
1 Chronicles 18:01
1 Chronicles 18:02
1 Chronicles 18:03-04
1 Chronicles 18:05-06
1 Chronicles 18:07-08
1 Chronicles 18:09-13
1 Chronicles 18:14-17
1 Chronicles 19
1 Chronicles 20:01a
1 Chronicles 20:01b-03
1 Chronicles 20:04
1 Chronicles 20:05-08
1 Chronicles 21:01-30
1 Chronicles 22
1 Chronicles 23:01-23
1 Chronicles 23:24-24:31
1 Chronicles 25
1 Chronicles 26
1 Chronicles 27:01-29:22
1 Chronicles 29:23-25
1 Chronicles 29:26-30
1 Corinthians 01-04
1 Corinthians 05-07
1 Corinthians 08:01-11:01
1 Corinthians 11:02-13:13
1 Corinthians 14:01-15:34
1 Corinthians 15:35-16:24
1 John 01-03
1 John 04, 05
1 Kings 01:01-27
1 Kings 01:28-40
1 Kings 01:41-02:09
1 Kings 02:10, 11
1 Kings 02:12
1 Kings 02:13-03:15
1 Kings 03:16-28
1 Kings 04:01-19
1 Kings 04:20-28
1 Kings 04:29-34
1 Kings 05:01-12
1 Kings 05:13-18
1 Kings 06
1 Kings 07:01-12
1 Kings 07:13-51
1 Kings 08:01-21
1 Kings 08:22-61
1 Kings 08:62-66
1 Kings 09:01-09
1 Kings 09:10-14
1 Kings 09:15, 16
1 Kings 09:17-19
1 Kings 09:20-23
1 Kings 09:24
1 Kings 09:25
1 Kings 09:26-28
1 Kings 10:01-13
1 Kings 10:14-21
1 Kings 10:22
